ds,yhat,yhat_lower,yhat_upper
2021-08-29,517.5958584887582,94.66877074964663,944.5444234464181
2021-08-30,517.677272124125,127.09496749104086,971.8122870092395
2021-08-31,517.7586857594919,90.82453882483867,926.7316544993408
2021-09-01,517.8400993948587,78.50298157305558,915.3074111565663
2021-09-02,517.9215130302257,118.34251811492497,933.1818220571107
2021-09-03,518.0029266655926,114.3965178978331,960.1558426080227
2021-09-04,518.0843403009594,78.19086616973541,952.9522834115708
2021-09-05,518.1657539363263,85.79122925172574,946.2621792008928
2021-09-06,518.2471675716932,89.30110152109745,929.0305726257023
2021-09-07,518.3285812070601,83.73684560756634,947.5562378256733
2021-09-08,518.409994842427,87.56298040370021,954.0400373500358
2021-09-09,518.4914084777939,54.38191592296987,895.9847730615919
2021-09-10,518.5728221131608,84.15556783223991,937.3963830545986
2021-09-11,518.6542357485276,88.5128582713027,922.0197338734125
2021-09-12,518.7356493838945,67.11567663794436,972.3857072993704
2021-09-13,518.8170630192615,119.04986985499579,945.3747267043063
2021-09-14,518.8984766546283,97.38091151856764,969.6058226674853
2021-09-15,518.9798902899952,112.70766787554994,938.8192910944971
2021-09-16,519.061303925362,110.49418806533735,942.1502582782446
2021-09-17,519.142717560729,69.98091785066332,934.8729448912048
2021-09-18,519.2241311960959,79.0075127492088,962.6392753236021
2021-09-19,519.3055448314627,100.92644342289962,951.1191518244398
2021-09-20,519.3869584668296,119.42197760140638,975.0018151212648
2021-09-21,519.4683721021966,117.67028604066523,971.3131634249731
2021-09-22,519.5497857375634,71.84079379702085,925.8239643589534
2021-09-23,519.6311993729303,75.93889096521262,954.2837303073553
2021-09-24,519.7126130082971,80.74241576298394,912.6824104394914
2021-09-25,519.7940266436641,116.4277229229353,957.8239659138158
2021-09-26,519.875440279031,110.71598786202215,974.8980752679823
2021-09-27,519.9568539143978,100.67145984139223,975.2303654801484
2021-09-28,520.0382675497647,73.78922827887756,955.7231877449016
2021-09-29,520.1196811851316,70.98094980847655,934.4989165693839
2021-09-30,520.2010948204985,84.04727477044966,945.1689815586511
2021-10-01,520.2825084558654,114.08397244661094,916.4956548034685
2021-10-02,520.3639220912322,110.87959852855808,910.9336152949995
2021-10-03,520.4453357265992,142.7217675499163,948.3087675614953
2021-10-04,520.526749361966,75.65232276049524,966.1126480212228
2021-10-05,520.6081629973329,99.68693293154719,944.6231581483038
2021-10-06,520.6879641525079,88.0246031479783,920.6944326832901
2021-10-07,520.767765307683,80.92119003476066,952.3181267667893
2021-10-08,520.8475664628581,87.11332218310474,971.7110204893753
2021-10-09,520.9273676180333,116.85040144349036,969.2593510936033
2021-10-10,521.0071687732084,105.42383396598845,941.3273693337848
2021-10-11,521.0869699283835,93.46477248177885,944.8290815115299
2021-10-12,521.1667710835586,90.38861052220356,931.1017068010993
2021-10-13,521.2465722387337,83.77490138654193,949.484347269124
2021-10-14,521.3263733939089,124.41304681314028,941.5196368836001
2021-10-15,521.406174549084,97.83321442479227,944.6410804056724
2021-10-16,521.4859757042591,98.47743519906959,961.6603072764176
2021-10-17,521.5657768594342,71.40226210462681,937.9460673338358
2021-10-18,521.6455780146093,82.5300968688188,952.9671550648692
2021-10-19,521.7253791697844,117.87606859736859,957.5078716849773
2021-10-20,521.8051803249595,88.83039721179823,946.4851412019007
2021-10-21,521.8849814801346,94.59352757504804,927.4079994699745
2021-10-22,521.9647826353097,86.75556439141131,952.8582872216102
2021-10-23,522.0445837904848,87.53766671539371,980.4647359521537
2021-10-24,522.1243849456598,105.53722960925087,962.3107632194265
2021-10-25,522.2041861008349,120.79459612735351,965.0200556269758
2021-10-26,522.28398725601,87.53762223838994,958.4185474804931
2021-10-27,522.3637884111852,92.08027555671762,951.6192606221358
2021-10-28,522.4435895663603,87.27907778381189,932.3648662721113
2021-10-29,522.5233907215354,94.63189839013798,919.5638820420505
2021-10-30,522.6031918767105,96.47657304905961,899.5932557645807
2021-10-31,522.6829930318856,108.24908080124379,966.6178743163607
2021-11-01,522.7627941870608,77.783886091922,973.3395536995556
2021-11-02,522.8425953422359,113.43167076894473,955.5991321479243
2021-11-03,522.922396497411,87.26918846573828,942.5918498245326
2021-11-04,523.0021976525861,75.57169543813475,948.432733050298
2021-11-05,523.0819988077612,112.84965836833146,957.0790405237507
2021-11-06,523.1617999629362,77.74351040993082,972.3584134652382
2021-11-07,523.2416011181114,95.30266459348262,952.9482989080219
2021-11-08,523.3214022732865,87.20920419731962,935.018699695577
2021-11-09,523.4012034284616,114.49462662972871,974.7203098511158
2021-11-10,523.4810045836367,99.3906406598215,933.9963904104068
2021-11-11,523.5608057388118,102.63976489491989,946.1185163303657
2021-11-12,523.6406068939868,57.4195848452746,908.8321886287616
2021-11-13,523.720408049162,107.47525794929463,920.0218994884025
2021-11-14,523.8002092043371,73.02445129051945,948.8082292357024
2021-11-15,523.8800103595122,69.3653269896453,929.7135221619099
2021-11-16,523.9598115146873,89.53129216441528,949.7846345968169
2021-11-17,524.0396126698624,64.97684352847763,927.7651562060012
2021-11-18,524.1194138250376,124.49483898313709,928.477114336342
2021-11-19,524.1992149802127,121.2593589198013,946.3489035334203
2021-11-20,524.2790161353878,101.18123496053063,963.3708359903032
2021-11-21,524.3588172905628,95.57485316600996,950.9676831739101
2021-11-22,524.438618445738,97.31724946435355,962.1072261323675
2021-11-23,524.518419600913,70.55569016384119,951.5493270057323
2021-11-24,524.5982207560882,104.48921353993775,919.9650668858123
2021-11-25,524.6780219112633,101.57734736567247,946.9381820676322
2021-11-26,524.7578230664384,109.36965453571341,986.4305845136284
2021-11-27,524.8376242216135,76.2748812022143,944.351238374752
2021-11-28,524.9174253767886,112.14220680772674,963.2625145372255
2021-11-29,524.9972265319637,100.12253198584962,937.312990882819
2021-11-30,525.0770276871388,90.91199275472705,941.8223848835293
2021-12-01,525.1568288423139,110.21943164247774,956.7196066552449
2021-12-02,525.236629997489,66.21489238615584,969.4600256129473
2021-12-03,525.3164311525576,98.23097402269353,942.9423640855188
2021-12-04,525.3962323076261,112.13153592222353,953.3714895509324
2021-12-05,525.4760334626947,108.41669546045138,922.8722184237478
